,image,dog,bounds_x_before,bounds_x,bounds_y_before,bounds_y,bounds_width_before,bounds_width,bounds_height_before,bounds_height,L_eye_v,L_eye_x_before,L_eye_x,L_eye_y_before,L_eye_y,R_eye_v,R_eye_x_before,R_eye_x,R_eye_y_before,R_eye_y,L_ear_v,L_ear_x_before,L_ear_x,L_ear_y_before,L_ear_y,R_ear_v,R_ear_x_before,R_ear_x,R_ear_y_before,R_ear_y,Nose_v,Nose_x_before,Nose_x,Nose_y_before,Nose_y,Throat_v,Throat_x_before,Throat_x,Throat_y_before,Throat_y,Tail_v,Tail_x_before,Tail_x,Tail_y_before,Tail_y,withers_v,withers_x_before,withers_x,withers_y_before,withers_y,L_F_elbow_v,L_F_elbow_x_before,L_F_elbow_x,L_F_elbow_y_before,L_F_elbow_y,R_F_elbow_v,R_F_elbow_x_before,R_F_elbow_x,R_F_elbow_y_before,R_F_elbow_y,L_B_elbow_v,L_B_elbow_x_before,L_B_elbow_x,L_B_elbow_y_before,L_B_elbow_y,R_B_elbow_v,R_B_elbow_x_before,R_B_elbow_x,R_B_elbow_y_before,R_B_elbow_y,L_F_knee_v,L_F_knee_x_before,L_F_knee_x,L_F_knee_y_before,L_F_knee_y,R_F_knee_v,R_F_knee_x_before,R_F_knee_x,R_F_knee_y_before,R_F_knee_y,L_B_knee_v,L_B_knee_x_before,L_B_knee_x,L_B_knee_y_before,L_B_knee_y,R_B_knee_v,R_B_knee_x_before,R_B_knee_x,R_B_knee_y_before,R_B_knee_y,L_F_paw_v,L_F_paw_x_before,L_F_paw_x,L_F_paw_y_before,L_F_paw_y,R_F_paw_v,R_F_paw_x_before,R_F_paw_x,R_F_paw_y_before,R_F_paw_y,L_B_paw_v,L_B_paw_x_before,L_B_paw_x,L_B_paw_y_before,L_B_paw_y,R_B_paw_v,R_B_paw_x_before,R_B_paw_x,R_B_paw_y_before,R_B_paw_y,height,width
523,523.jpeg,1,0.016666667,5,0.111650485,23,0.973333333,292,0.805825243,166,1,0.11,33,0.276699029,57,0,0,0,0,0,1,0.143333333,43,0.17961165,37,0,0,0,0,0,1,0.04,12,0.393203883,81,1,0.213333333,64,0.402912621,83,1,0.723333333,217,0.393203883,81,1,0.35,105,0.315533981,65,1,0.256666667,77,0.674757282,139,0,0,0,0,0,1,0.64,192,0.660194175,136,0,0,0,0,0,1,0.146666667,44,0.791262136,163,0,0,0,0,0,1,0.753333333,226,0.762135922,157,0,0,0,0,0,1,0.07,21,0.868932039,179,0,0,0,0,0,1,0.696666667,209,0.883495146,182,0,0,0,0,0,206,300
524,524.jpeg,1,0.119521912,30,0.066666667,20,0.828685259,208,0.906666667,272,1,0.669322709,168,0.43,129,1,0.474103586,119,0.443333333,133,1,0.661354582,166,0.22,66,1,0.3187251,80,0.26,78,1,0.597609562,150,0.503333333,151,1,0.402390438,101,0.613333333,184,0,0,0,0,0,0,0,0,0,0,1,0.657370518,165,0.743333333,223,1,0.175298805,44,0.68,204,0,0,0,0,0,0,0,0,0,0,1,0.637450199,160,0.81,243,1,0.207171315,52,0.773333333,232,0,0,0,0,0,0,0,0,0,0,1,0.629482072,158,0.91,273,1,0.247011952,62,0.876666667,263,1,0.844621514,212,0.843333333,253,0,0,0,0,0,300,251
525,525.jpeg,1,0.023333333,7,0.008064516,2,0.74,222,0.991935484,246,1,0.563333333,169,0.141129032,35,1,0.456666667,137,0.129032258,32,1,0.663333333,199,0.129032258,32,1,0.413333333,124,0.100806452,25,1,0.46,138,0.209677419,52,1,0.536666667,161,0.5,124,1,0.22,66,0.592741935,147,0,0,0,0,0,1,0.713333333,214,0.883064516,219,1,0.533333333,160,0.875,217,0,0,0,0,0,1,0.213333333,64,0.870967742,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,300
526,526.jpeg,1,0.126811594,35,0.093333333,28,0.652173913,180,0.846666667,254,1,0.652173913,180,0.24,72,1,0.496376812,137,0.236666667,71,1,0.688405797,190,0.15,45,1,0.43115942,119,0.166666667,50,1,0.56884058,157,0.31,93,1,0.56884058,157,0.43,129,0,0,0,0,0,0,0,0,0,0,1,0.605072464,167,0.693333333,208,1,0.442028986,122,0.656666667,197,0,0,0,0,0,0,0,0,0,0,1,0.550724638,152,0.816666667,245,1,0.467391304,129,0.82,246,0,0,0,0,0,0,0,0,0,0,1,0.597826087,165,0.886666667,266,1,0.510869565,141,0.903333333,271,1,0.402173913,111,0.863333333,259,1,0.202898551,56,0.876666667,263,300,276
527,527.jpeg,1,0.083333333,25,0.029304029,8,0.506666667,152,0.871794872,238,1,0.35,105,0.208791209,57,1,0.23,69,0.168498168,46,1,0.416666667,125,0.205128205,56,1,0.17,51,0.142857143,39,1,0.24,72,0.307692308,84,1,0.286666667,86,0.446886447,122,0,0,0,0,0,0,0,0,0,0,1,0.44,132,0.575091575,157,1,0.173333333,52,0.56043956,153,0,0,0,0,0,0,0,0,0,0,1,0.493333333,148,0.710622711,194,1,0.193333333,58,0.743589744,203,0,0,0,0,0,0,0,0,0,0,1,0.546666667,164,0.805860806,220,1,0.183333333,55,0.846153846,231,1,0.406666667,122,0.717948718,196,0,0,0,0,0,273,300
528,528.jpeg,1,0.05,15,0.064814815,14,0.66,198,0.888888889,192,1,0.406666667,122,0.476851852,103,1,0.196666667,59,0.481481481,104,1,0.523333333,157,0.222222222,48,1,0.18,54,0.171296296,37,1,0.26,78,0.662037037,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.606666667,182,0.666666667,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.546666667,164,0.759259259,164,1,0.32,96,0.787037037,170,0,0,0,0,0,0,0,0,0,0,1,0.543333333,163,0.837962963,181,1,0.333333333,100,0.875,189,0,0,0,0,0,0,0,0,0,0,216,300
529,529.jpeg,1,0.13,39,0.042553191,8,0.84,252,0.872340426,164,1,0.586666667,176,0.627659574,118,1,0.393333333,118,0.595744681,112,1,0.67,201,0.420212766,79,1,0.346666667,104,0.388297872,73,1,0.466666667,140,0.675531915,127,0,0,0,0,0,0,0,0,0,0,1,0.52,156,0.159574468,30,1,0.853333333,256,0.675531915,127,1,0.19,57,0.590425532,111,0,0,0,0,0,0,0,0,0,0,1,0.766666667,230,0.707446809,133,1,0.233333333,70,0.691489362,130,0,0,0,0,0,0,0,0,0,0,1,0.74,222,0.803191489,151,1,0.213333333,64,0.776595745,146,1,0.91,273,0.611702128,115,0,0,0,0,0,188,300
530,530.jpeg,1,0.15,45,0.113207547,30,0.573333333,172,0.860377358,228,1,0.623333333,187,0.286792453,76,1,0.506666667,152,0.264150943,70,1,0.62,186,0.18490566,49,1,0.413333333,124,0.173584906,46,1,0.593333333,178,0.373584906,99,1,0.473333333,142,0.456603774,121,0,0,0,0,0,0,0,0,0,0,1,0.54,162,0.652830189,173,1,0.293333333,88,0.641509434,170,1,0.666666667,200,0.769811321,204,0,0,0,0,0,1,0.493333333,148,0.822641509,218,1,0.246666667,74,0.818867925,217,1,0.67,201,0.841509434,223,0,0,0,0,0,1,0.48,144,0.928301887,246,1,0.226666667,68,0.928301887,246,1,0.64,192,0.894339623,237,1,0.366666667,110,0.894339623,237,265,300
531,531.jpeg,1,0.119230769,31,0.033333333,10,0.692307692,180,0.933333333,280,1,0.746153846,194,0.19,57,1,0.630769231,164,0.19,57,1,0.761538462,198,0.116666667,35,1,0.6,156,0.123333333,37,1,0.684615385,178,0.25,75,1,0.673076923,175,0.406666667,122,0,0,0,0,0,1,0.5,130,0.323333333,97,1,0.7,182,0.64,192,1,0.507692308,132,0.656666667,197,1,0.415384615,108,0.636666667,191,1,0.238461538,62,0.613333333,184,1,0.657692308,171,0.89,267,1,0.523076923,136,0.883333333,265,1,0.330769231,86,0.71,213,1,0.192307692,50,0.73,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,260
532,532.jpeg,1,0.263333333,79,0.02,4,0.68,204,0.98,196,1,0.466666667,140,0.3,60,1,0.38,114,0.285,57,1,0.536666667,161,0.19,38,1,0.353333333,106,0.17,34,1,0.406666667,122,0.35,70,1,0.433333333,130,0.55,110,0,0,0,0,0,0,0,0,0,0,1,0.59,177,0.8,160,1,0.44,132,0.78,156,1,0.806666667,242,0.665,133,0,0,0,0,0,1,0.553333333,166,0.885,177,1,0.473333333,142,0.875,175,1,0.83,249,0.745,149,1,0.703333333,211,0.715,143,1,0.546666667,164,0.985,197,1,0.493333333,148,0.94,188,0,0,0,0,0,1,0.67,201,0.835,167,200,300
533,533.jpeg,1,0.067039106,12,0.033333333,10,0.770949721,138,0.933333333,280,1,0.636871508,114,0.183333333,55,1,0.530726257,95,0.19,57,1,0.648044693,116,0.146666667,44,1,0.480446927,86,0.143333333,43,1,0.581005587,104,0.253333333,76,1,0.603351955,108,0.37,111,0,0,0,0,0,0,0,0,0,0,1,0.715083799,128,0.603333333,181,1,0.519553073,93,0.61,183,0,0,0,0,0,1,0.223463687,40,0.716666667,215,1,0.703910615,126,0.816666667,245,1,0.525139665,94,0.85,255,1,0.374301676,67,0.85,255,1,0.17877095,32,0.87,261,1,0.765363128,137,0.893333333,268,1,0.56424581,101,0.943333333,283,1,0.581005587,104,0.853333333,256,1,0.273743017,49,0.9,270,300,179
534,534.jpeg,1,0.156666667,47,0.108333333,26,0.686666667,206,0.783333333,188,1,0.26,78,0.270833333,65,0,0,0,0,0,1,0.32,96,0.1875,45,1,0.253333333,76,0.170833333,41,1,0.186666667,56,0.320833333,77,1,0.293333333,88,0.45,108,1,0.756666667,227,0.320833333,77,1,0.483333333,145,0.3,72,1,0.426666667,128,0.683333333,164,0,0,0,0,0,1,0.74,222,0.625,150,0,0,0,0,0,1,0.446666667,134,0.7625,183,0,0,0,0,0,1,0.786666667,236,0.695833333,167,0,0,0,0,0,1,0.453333333,136,0.854166667,205,1,0.4,120,0.770833333,185,1,0.78,234,0.779166667,187,1,0.713333333,214,0.729166667,175,240,300
535,535.jpeg,1,0.016666667,5,0,0,0.766666667,230,0.99,198,1,0.733333333,220,0.165,33,1,0.673333333,202,0.175,35,1,0.723333333,217,0.085,17,1,0.616666667,185,0.1,20,1,0.746666667,224,0.285,57,1,0.64,192,0.355,71,1,0.22,66,0.275,55,0,0,0,0,0,1,0.593333333,178,0.59,118,1,0.51,153,0.63,126,0,0,0,0,0,1,0.166666667,50,0.57,114,1,0.58,174,0.76,152,1,0.483333333,145,0.825,165,0,0,0,0,0,1,0.093333333,28,0.635,127,1,0.596666667,179,0.855,171,1,0.473333333,142,0.94,188,1,0.16,48,0.64,128,1,0.06,18,0.755,151,200,300
536,536.jpeg,1,0.03,9,0.010452962,3,0.906666667,272,0.989547038,284,1,0.18,54,0.167247387,48,1,0.073333333,22,0.163763066,47,1,0.26,78,0.083623693,24,1,0.1,30,0.076655052,22,1,0.076666667,23,0.233449477,67,1,0.273333333,82,0.37630662,108,0,0,0,0,0,1,0.473333333,142,0.222996516,64,1,0.48,144,0.637630662,183,1,0.333333333,100,0.637630662,183,1,0.89,267,0.630662021,181,1,0.68,204,0.651567944,187,1,0.466666667,140,0.881533101,253,1,0.34,102,0.846689895,243,1,0.876666667,263,0.780487805,224,1,0.723333333,217,0.763066202,219,1,0.42,126,0.975609756,280,1,0.33,99,0.968641115,278,1,0.883333333,265,0.912891986,262,1,0.653333333,196,0.881533101,253,287,300
537,537.jpeg,1,0.096296296,26,0.08,24,0.614814815,166,0.84,252,1,0.518518519,140,0.283333333,85,1,0.407407407,110,0.283333333,85,1,0.544444444,147,0.213333333,64,1,0.351851852,95,0.203333333,61,1,0.481481481,130,0.34,102,1,0.444444444,120,0.466666667,140,0,0,0,0,0,0,0,0,0,0,1,0.562962963,152,0.57,171,1,0.237037037,64,0.636666667,191,0,0,0,0,0,0,0,0,0,0,1,0.577777778,156,0.67,201,1,0.214814815,58,0.786666667,236,0,0,0,0,0,1,0.481481481,130,0.756666667,227,1,0.6,162,0.766666667,230,1,0.211111111,57,0.873333333,262,1,0.637037037,172,0.63,189,1,0.525925926,142,0.773333333,232,300,270
538,538.jpeg,1,0.01,3,0.02,6,0.92,276,0.973333333,292,1,0.47,141,0.31,93,1,0.266666667,80,0.323333333,97,1,0.566666667,170,0.153333333,46,1,0.133333333,40,0.176666667,53,1,0.39,117,0.496666667,149,1,0.38,114,0.72,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300
539,539.jpeg,1,0,0,0,0,0.796666667,239,0.942222222,212,1,0.756666667,227,0.093333333,21,1,0.693333333,208,0.111111111,25,1,0.763333333,229,0.057777778,13,1,0.616666667,185,0.084444444,19,1,0.766666667,230,0.186666667,42,1,0.706666667,212,0.351111111,79,1,0.2,60,0.351111111,79,1,0.523333333,157,0.262222222,59,0,0,0,0,0,1,0.503333333,151,0.635555556,143,1,0.313333333,94,0.688888889,155,1,0.226666667,68,0.662222222,149,1,0.62,186,0.795555556,179,1,0.516666667,155,0.8,180,1,0.226666667,68,0.742222222,167,1,0.066666667,20,0.728888889,164,1,0.633333333,190,0.884444444,199,1,0.573333333,172,0.924444444,208,1,0.266666667,80,0.844444444,190,1,0.08,24,0.871111111,196,225,300
540,540.jpeg,1,0,0,0.050167224,15,0.923333333,277,0.862876254,258,1,0.88,264,0.545150502,163,1,0.666666667,200,0.511705686,153,1,0.86,258,0.327759197,98,1,0.583333333,175,0.367892977,110,1,0.836666667,251,0.722408027,216,0,0,0,0,0,0,0,0,0,0,1,0.63,189,0.163879599,49,0,0,0,0,0,1,0.373333333,112,0.484949833,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.173333333,52,0.428093645,128,1,0.086666667,26,0.464882943,139,299,300
541,541.jpeg,1,0.176666667,53,0,0,0.74,222,0.995555556,224,1,0.74,222,0.257777778,58,1,0.566666667,170,0.288888889,65,1,0.76,228,0.12,27,1,0.54,162,0.133333333,30,1,0.636666667,191,0.342222222,77,1,0.676666667,203,0.675555556,152,1,0.256666667,77,0.057777778,13,0,0,0,0,0,1,0.86,258,0.724444444,163,1,0.48,144,0.782222222,176,0,0,0,0,0,1,0.31,93,0.582222222,131,1,0.85,255,0.928888889,209,1,0.523333333,157,0.924444444,208,0,0,0,0,0,1,0.226666667,68,0.68,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.266666667,80,0.866666667,195,225,300
542,542.jpeg,1,0.136666667,41,0.088888889,20,0.686666667,206,0.88,198,1,0.57,171,0.262222222,59,1,0.476666667,143,0.271111111,61,1,0.546666667,164,0.2,45,1,0.456666667,137,0.231111111,52,1,0.56,168,0.355555556,80,1,0.513333333,154,0.555555556,125,0,0,0,0,0,0,0,0,0,0,1,0.606666667,182,0.835555556,188,1,0.386666667,116,0.804444444,181,0,0,0,0,0,0,0,0,0,0,1,0.693333333,208,0.866666667,195,1,0.49,147,0.857777778,193,0,0,0,0,0,0,0,0,0,0,1,0.77,231,0.92,207,1,0.556666667,167,0.92,207,0,0,0,0,0,1,0.176666667,53,0.786666667,177,225,300
543,543.jpeg,1,0.036666667,11,0.233333333,70,0.88,264,0.586666667,176,1,0.793333333,238,0.416666667,125,1,0.673333333,202,0.456666667,137,1,0.76,228,0.356666667,107,1,0.62,186,0.41,123,1,0.763333333,229,0.47,141,1,0.723333333,217,0.606666667,182,1,0.24,72,0.533333333,160,1,0.543333333,163,0.49,147,0,0,0,0,0,1,0.546666667,164,0.71,213,0,0,0,0,0,1,0.22,66,0.633333333,190,1,0.81,243,0.693333333,208,1,0.706666667,212,0.73,219,0,0,0,0,0,1,0.12,36,0.656666667,197,1,0.86,258,0.736666667,221,1,0.793333333,238,0.753333333,226,1,0.296666667,89,0.683333333,205,1,0.08,24,0.69,207,300,300
544,544.jpeg,1,0.363333333,109,0.034883721,6,0.613333333,184,0.965116279,166,1,0.48,144,0.127906977,22,0,0,0,0,0,1,0.566666667,170,0.13372093,23,0,0,0,0,0,1,0.386666667,116,0.156976744,27,1,0.493333333,148,0.401162791,69,0,0,0,0,0,1,0.663333333,199,0.308139535,53,1,0.7,210,0.680232558,117,1,0.533333333,160,0.703488372,121,1,0.86,258,0.796511628,137,0,0,0,0,0,1,0.716666667,215,0.906976744,156,1,0.52,156,0.877906977,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,300
545,545.jpeg,1,0.263333333,79,0.14,28,0.453333333,136,0.8,160,1,0.46,138,0.285,57,1,0.38,114,0.29,58,1,0.496666667,149,0.315,63,1,0.313333333,94,0.285,57,1,0.436666667,131,0.345,69,1,0.413333333,124,0.495,99,1,0.673333333,202,0.435,87,0,0,0,0,0,1,0.493333333,148,0.635,127,1,0.32,96,0.73,146,1,0.633333333,190,0.645,129,1,0.543333333,163,0.63,126,1,0.466666667,140,0.735,147,1,0.343333333,103,0.825,165,1,0.636666667,191,0.725,145,1,0.58,174,0.675,135,1,0.45,135,0.82,164,1,0.333333333,100,0.9,180,1,0.636666667,191,0.825,165,1,0.513333333,154,0.735,147,200,300
546,546.jpeg,1,0.05,15,0.326666667,98,0.56,168,0.533333333,160,1,0.493333333,148,0.456666667,137,1,0.396666667,119,0.43,129,1,0.533333333,160,0.456666667,137,1,0.35,105,0.436666667,131,1,0.433333333,130,0.49,147,1,0.43,129,0.62,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,27,0.71,213,1,0.546666667,164,0.816666667,245,1,0.37,111,0.82,246,0,0,0,0,0,1,0.086666667,26,0.776666667,233,300,300
547,547.jpeg,1,0.143333333,43,0.13963964,31,0.446666667,134,0.792792793,176,1,0.53,159,0.283783784,63,1,0.386666667,116,0.297297297,66,1,0.543333333,163,0.234234234,52,1,0.306666667,92,0.256756757,57,1,0.476666667,143,0.378378378,84,1,0.446666667,134,0.572072072,127,1,0.286666667,86,0.454954955,101,0,0,0,0,0,1,0.493333333,148,0.752252252,167,1,0.34,102,0.761261261,169,0,0,0,0,0,1,0.2,60,0.707207207,157,1,0.473333333,142,0.869369369,193,1,0.346666667,104,0.855855856,190,0,0,0,0,0,1,0.203333333,61,0.788288288,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.173333333,52,0.873873874,194,222,300
548,548.jpeg,1,0.103333333,31,0.083333333,18,0.72,216,0.796296296,172,1,0.793333333,238,0.166666667,36,1,0.74,222,0.171296296,37,0,0,0,0,0,1,0.683333333,205,0.148148148,32,1,0.81,243,0.226851852,49,1,0.7,210,0.388888889,84,1,0.27,81,0.305555556,66,1,0.586666667,176,0.268518519,58,1,0.693333333,208,0.583333333,126,1,0.573333333,172,0.583333333,126,0,0,0,0,0,1,0.326666667,98,0.50462963,109,1,0.653333333,196,0.773148148,167,1,0.55,165,0.800925926,173,1,0.206666667,62,0.712962963,154,1,0.233333333,70,0.74537037,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,300
549,549.jpeg,1,0,0,0.031746032,8,0.89,267,0.96031746,242,1,0.763333333,229,0.218253968,55,1,0.62,186,0.25,63,0,0,0,0,0,1,0.383333333,115,0.146825397,37,1,0.853333333,256,0.432539683,109,1,0.463333333,139,0.797619048,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,300
550,550.jpeg,1,0.036666667,11,0.015503876,2,0.873333333,262,0.976744186,126,0,0,0,0,0,1,0.796666667,239,0.093023256,12,0,0,0,0,0,1,0.726666667,218,0.162790698,21,1,0.896666667,269,0.186046512,24,1,0.7,210,0.503875969,65,1,0.193333333,58,0.503875969,65,1,0.566666667,170,0.294573643,38,0,0,0,0,0,1,0.593333333,178,0.837209302,108,0,0,0,0,0,1,0.286666667,86,0.92248062,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,300
551,551.jpeg,1,0.131687243,32,0.06,18,0.716049383,174,0.893333333,268,1,0.683127572,166,0.133333333,40,1,0.530864198,129,0.143333333,43,1,0.699588477,170,0.166666667,50,1,0.469135802,114,0.18,54,1,0.62962963,153,0.203333333,61,1,0.617283951,150,0.363333333,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.654320988,159,0.773333333,232,1,0.403292181,98,0.766666667,230,0,0,0,0,0,0,0,0,0,0,1,0.654320988,159,0.893333333,268,1,0.395061728,96,0.89,267,0,0,0,0,0,0,0,0,0,0,300,243
552,552.jpeg,1,0.013333333,3,0.173333333,52,0.88,198,0.766666667,230,1,0.808888889,182,0.23,69,1,0.724444444,163,0.223333333,67,1,0.84,189,0.21,63,1,0.671111111,151,0.21,63,1,0.786666667,177,0.296666667,89,1,0.728888889,164,0.37,111,1,0.16,36,0.546666667,164,1,0.577777778,130,0.336666667,101,0,0,0,0,0,1,0.617777778,139,0.556666667,167,0,0,0,0,0,1,0.266666667,60,0.683333333,205,1,0.595555556,134,0.636666667,191,1,0.688888889,155,0.65,195,0,0,0,0,0,1,0.124444444,28,0.8,240,0,0,0,0,0,1,0.684444444,154,0.746666667,224,0,0,0,0,0,1,0.177777778,40,0.916666667,275,300,225
553,553.jpeg,1,0.243333333,73,0.119469027,27,0.546666667,164,0.769911504,174,1,0.47,141,0.300884956,68,1,0.353333333,106,0.305309735,69,1,0.486666667,146,0.247787611,56,1,0.323333333,97,0.252212389,57,1,0.413333333,124,0.331858407,75,1,0.42,126,0.513274336,116,0,0,0,0,0,0,0,0,0,0,1,0.506666667,152,0.685840708,155,1,0.34,102,0.637168142,144,1,0.713333333,214,0.601769912,136,1,0.586666667,176,0.650442478,147,1,0.49,147,0.765486726,173,1,0.37,111,0.756637168,171,1,0.753333333,226,0.67699115,153,1,0.63,189,0.694690265,157,1,0.476666667,143,0.818584071,185,1,0.346666667,104,0.827433628,187,1,0.746666667,224,0.765486726,173,1,0.603333333,181,0.774336283,175,226,300
554,554.jpeg,1,0.09,27,0.024752475,5,0.86,258,0.96039604,194,1,0.36,108,0.222772277,45,0,0,0,0,0,1,0.446666667,134,0.163366337,33,1,0.386666667,116,0.123762376,25,1,0.246666667,74,0.326732673,66,1,0.396666667,119,0.420792079,85,1,0.92,276,0.579207921,117,1,0.553333333,166,0.440594059,89,1,0.456666667,137,0.816831683,165,1,0.353333333,106,0.732673267,148,1,0.703333333,211,0.608910891,123,0,0,0,0,0,1,0.3,90,0.846534653,171,1,0.243333333,73,0.782178218,158,1,0.873333333,262,0.752475248,152,0,0,0,0,0,1,0.16,48,0.930693069,188,1,0.11,33,0.876237624,177,1,0.733333333,220,0.806930693,163,1,0.71,213,0.747524752,151,202,300
555,555.jpeg,1,0.296666667,89,0.153846154,26,0.68,204,0.846153846,143,1,0.626666667,188,0.396449704,67,1,0.473333333,142,0.372781065,63,1,0.67,201,0.372781065,63,1,0.44,132,0.343195266,58,1,0.516666667,155,0.455621302,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.796666667,239,0.656804734,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.843333333,253,0.633136095,107,0,0,0,0,0,1,0.633333333,190,0.964497041,163,0,0,0,0,0,1,0.826666667,248,0.804733728,136,0,0,0,0,0,169,300
556,556.jpeg,1,0.016666667,5,0.026315789,4,0.78,234,0.973684211,148,1,0.566666667,170,0.309210526,47,1,0.413333333,124,0.348684211,53,1,0.586666667,176,0.171052632,26,1,0.293333333,88,0.289473684,44,1,0.546666667,164,0.572368421,87,1,0.48,144,0.802631579,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,300
557,557.jpeg,1,0.076666667,23,0.054474708,14,0.88,264,0.910505837,234,1,0.313333333,94,0.167315175,43,1,0.206666667,62,0.147859922,38,1,0.36,108,0.245136187,63,0,0,0,0,0,1,0.226666667,68,0.229571984,59,1,0.293333333,88,0.447470817,115,1,0.87,261,0.311284047,80,1,0.456666667,137,0.245136187,63,1,0.453333333,136,0.680933852,175,0,0,0,0,0,1,0.823333333,247,0.610894942,157,0,0,0,0,0,1,0.436666667,131,0.836575875,215,0,0,0,0,0,1,0.893333333,268,0.704280156,181,0,0,0,0,0,1,0.386666667,116,0.922178988,237,1,0.35,105,0.852140078,219,1,0.826666667,248,0.789883268,203,0,0,0,0,0,257,300
558,558.jpeg,1,0.069767442,18,0.046666667,14,0.80620155,208,0.893333333,268,1,0.333333333,86,0.253333333,76,1,0.162790698,42,0.243333333,73,1,0.480620155,124,0.19,57,1,0.139534884,36,0.156666667,47,1,0.186046512,48,0.39,117,0,0,0,0,0,1,0.728682171,188,0.536666667,161,0,0,0,0,0,1,0.542635659,140,0.526666667,158,1,0.147286822,38,0.503333333,151,0,0,0,0,0,0,0,0,0,0,1,0.453488372,117,0.603333333,181,1,0.224806202,58,0.636666667,191,0,0,0,0,0,0,0,0,0,0,1,0.441860465,114,0.713333333,214,1,0.213178295,55,0.726666667,218,1,0.821705426,212,0.7,210,1,0.635658915,164,0.856666667,257,300,258
559,559.jpeg,1,0.196666667,59,0,0,0.413333333,124,0.986425339,218,1,0.45,135,0.298642534,66,1,0.346666667,104,0.28959276,64,1,0.48,144,0.235294118,52,1,0.313333333,94,0.221719457,49,1,0.38,114,0.416289593,92,1,0.386666667,116,0.597285068,132,0,0,0,0,0,0,0,0,0,0,1,0.51,153,0.696832579,154,1,0.296666667,89,0.7239819,160,0,0,0,0,0,0,0,0,0,0,1,0.46,138,0.79638009,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.43,129,0.923076923,204,0,0,0,0,0,1,0.54,162,0.800904977,177,0,0,0,0,0,221,300
560,560.jpeg,1,0,0,0.037878788,10,0.776666667,233,0.871212121,230,1,0.64,192,0.284090909,75,1,0.51,153,0.268939394,71,1,0.72,216,0.204545455,54,1,0.426666667,128,0.147727273,39,1,0.566666667,170,0.386363636,102,1,0.54,162,0.496212121,131,0,0,0,0,0,0,0,0,0,0,1,0.646666667,194,0.564393939,149,1,0.403333333,121,0.613636364,162,0,0,0,0,0,1,0.21,63,0.511363636,135,1,0.653333333,196,0.708333333,187,1,0.42,126,0.791666667,209,0,0,0,0,0,1,0.28,84,0.685606061,181,1,0.683333333,205,0.814393939,215,1,0.393333333,118,0.901515152,238,1,0.76,228,0.674242424,178,1,0.296666667,89,0.791666667,209,264,300
